Feature,Importance
Bilirubin_plus_Prothrombin,0.005451681200998722
N_Days,0.002908906061109646
Stage_4.0,0.0014732454151424876
N_Days_div_Copper,0.0010103280803208704
Age,0.0009206735537424084
SGOT,0.0008216054667828755
Prothrombin_Normal_1,0.0004666408789576294
Alk_Phos,0.000454177544371217
Cholesterol_div_Copper,0.0004186969104660365
N_Days_div_Bilirubin,0.0003523267029788535
Edema_Y,0.00033351867934924953
Edema_N,0.0002743561286049045
Bilirubin_x_Alk_Phos,0.00025853380460891804
Copper,0.00024756191458225274
Bilirubin,0.0002171813900596886
SGOT_div_prod_of_N_Days_and_Alk_Phos,0.00021506666654080853
N_Days_x_SGOT_x_Tryglicerides,0.00021385771027721657
Tryglicerides,0.0002034617643076597
Copper_minus_Platelets,0.00020318523033123538
Cholesterol_div_prod_of_N_Days_and_SGOT,0.00018631216773184355
Age_div_sum_of_Copper_and_Tryglicerides,0.00012792968345418654
Std_of_Bilirubin_Albumin_Prothrombin,0.00011830436254308464
Std_Cholesterol_Platelets,0.00010679046015640292
Age_div_sum_of_Bilirubin_and_Albumin,0.00010405649266839845
SGOT_div_sum_of_N_Days_and_Alk_Phos,9.404446146758173e-05
Age_x_SGOT,9.120124719260046e-05
N_Days_x_Bilirubin_x_Alk_Phos,6.565971882154465e-05
Alk_Phos_div_sum_of_Copper_and_SGOT,5.592233692172765e-05
Bilirubin_x_Copper,5.420267522830091e-05
Tryglicerides_minus_Platelets,5.098018693072692e-05
Alk_Phos_div_prod_of_Cholesterol_and_SGOT,4.556050708189208e-05
Platelets_div_sum_of_N_Days_and_Alk_Phos,4.434019471631245e-05
N_Days_x_Cholesterol_x_SGOT,4.016152471728152e-05
N_Days_x_Bilirubin,3.916910843892563e-05
Cholesterol_x_Tryglicerides,3.869729825885848e-05
SGOT_div_prod_of_Cholesterol_and_Tryglicerides,3.429319354034899e-05
Std_Copper_SGOT,3.302096874764793e-05
Copper_div_Alk_Phos,2.85397222309669e-05
SGOT_div_sum_of_Cholesterol_and_Platelets,2.729063956094624e-05
Age_x_Cholesterol,2.5419270170043975e-05
Platelets_div_prod_of_N_Days_and_Alk_Phos,2.5155765518869444e-05
Platelets_div_prod_of_N_Days_and_SGOT,2.4155189512438113e-05
Copper_x_Alk_Phos,2.4152997674402597e-05
Age_div_Tryglicerides,2.3512129491529696e-05
Tryglicerides_div_prod_of_Copper_and_Platelets,2.1320416029877444e-05
Copper_plus_Tryglicerides_minus_Cholesterol,1.9158084238282137e-05
Std_Bilirubin_Albumin,1.6806780773759303e-05
Std_N_Days_Alk_Phos,1.664296201585369e-05
Cholesterol_div_sum_of_Copper_and_SGOT,1.652423223129862e-05
Cholesterol_div_prod_of_N_Days_and_Tryglicerides,1.588845428795338e-05
Std_of_Copper_SGOT_Tryglicerides,1.5546236963839277e-05
Age_x_Tryglicerides,1.429224215359959e-05
Age_div_sum_of_Cholesterol_and_Platelets,1.3626536533890566e-05
Age_x_Albumin,1.3609876811750965e-05
SGOT_div_prod_of_Alk_Phos_and_Platelets,1.2417290155140037e-05
SGOT_x_Platelets,1.041064961675886e-05
SGOT_div_prod_of_Alk_Phos_and_Tryglicerides,9.714685031871896e-06
Alk_Phos_div_prod_of_N_Days_and_Copper,8.70834668424525e-06
N_Days_x_Cholesterol_x_Tryglicerides,8.567869044804333e-06
SGOT_plus_Tryglicerides_minus_Copper,7.596629052906146e-06
Cholesterol_div_prod_of_Age_and_SGOT,7.24385010127726e-06
SGOT_div_prod_of_Cholesterol_and_Copper,7.212412351660368e-06
Age_div_sum_of_Copper_and_Platelets,6.776718733609854e-06
N_Days_x_Copper_x_Alk_Phos,6.273352221395357e-06
Tryglicerides_div_prod_of_N_Days_and_Bilirubin,5.8801094964211486e-06
Albumin_x_Prothrombin,5.600352137595799e-06
SGOT_div_prod_of_Bilirubin_and_Platelets,5.303556577391788e-06
Bilirubin_x_Platelets,5.257617134524218e-06
Bilirubin_div_prod_of_Copper_and_Tryglicerides,4.756428420003011e-06
N_Days_x_Alk_Phos,4.5433840893638334e-06
Alk_Phos_div_prod_of_Bilirubin_and_Copper,3.945059284609088e-06
SGOT_div_prod_of_Age_and_Cholesterol,3.8797510360844e-06
Std_of_Cholesterol_Tryglicerides_Platelets,2.7214117295848436e-06
Bilirubin_div_prod_of_Cholesterol_and_SGOT,1.6738117079739822e-06
Tryglicerides_div_sum_of_N_Days_and_Alk_Phos,1.3003359091223744e-06
