Feature,Importance
random_control_feature,0.0071407708700340754
Alk_Phos_div_prod_of_Cholesterol_and_Tryglicerides,0.00639372523048333
Sex_M,0.00490179331368243
Edema_N,0.0041338625499609625
Age_div_sum_of_SGOT_and_Tryglicerides,0.003485878118717891
Copper_div_Alk_Phos,0.0033084449191478653
Bilirubin_Risk_Level_Normal,0.002461589253602465
Stage_3.0,0.0022942278995386717
Tryglicerides_Borderline_1,0.002256205836953104
Cholesterol_div_Tryglicerides,0.0014132878165559726
Copper_div_prod_of_SGOT_and_Tryglicerides,0.0011663345349518651
Cholesterol_minus_Tryglicerides,0.0004445695859513645
Tryglicerides_Normal_1,0.00013959403667332282
SGOT_gt_Tryglicerides_1,0.000127907421452349
Tryglicerides_High_1,8.466560500387743e-05
Albumin_Risk_Level_Normal,7.744971875686346e-05
Tryglicerides_gt_Platelets_1,7.194699044975383e-05
Copper_gt_SGOT_1,3.841443629545527e-05
Cholesterol_gt_Platelets_1,3.063862275114904e-05
Copper_gt_Tryglicerides_1,2.1554670077943426e-05
Bilirubin_gt_Alk_Phos,0.0
Age_gt_Prothrombin,0.0
Cholesterol_gt_Copper_1,0.0
N_Days_gt_Copper_1,0.0
N_Days_gt_Cholesterol_1,0.0
N_Days_gt_Platelets_1,0.0
N_Days_gt_Tryglicerides_1,0.0
Age_gt_Albumin,0.0
Bilirubin_gt_Prothrombin_1,0.0
Cholesterol_gt_Tryglicerides_1,0.0
N_Days_gt_SGOT_1,0.0
Age_gt_SGOT,0.0
N_Days_gt_Albumin,0.0
Copper_gt_Prothrombin_1,0.0
SGOT_gt_Platelets_1,-2.4158945480268203e-05
N_Days_gt_Alk_Phos_1,-2.458404460124353e-05
Bilirubin_Risk_Level_Jaundice,-2.589701003937517e-05
Cholesterol_Risk_Level_Normal,-4.2829833892197304e-05
Age_Group_Senior,-0.0007531006532920071
Edema_S,-0.0008917585201090583
Stage_2.0,-0.0010584447725160695
Copper_gt_Platelets_1,-0.0011191952442034217
Copper_Normal_1,-0.0011348071067483457
Stage_1.0,-0.0012653336687245488
SGOT_plus_Platelets_minus_Tryglicerides,-0.001673408858896756
Bilirubin_div_prod_of_Cholesterol_and_Copper,-0.0021815954684905625
Alk_Phos_div_prod_of_SGOT_and_Platelets,-0.0023624794596118284
Copper_High_1,-0.00271685080272817
Bilirubin_gt_Albumin_1,-0.0033730113682962767
Tryglicerides_div_prod_of_Copper_and_Platelets,-0.0035704129567116147
Hepatomegaly_xor_Spiders_1,-0.0037051651873515777
Edema_Y,-0.003910982062785595
Alk_Phos_div_prod_of_N_Days_and_Copper,-0.004587369179439404
Std_Copper_Tryglicerides,-0.004633621141457133
Tryglicerides_div_sum_of_N_Days_and_Alk_Phos,-0.004757503335962538
Copper_plus_Platelets_minus_SGOT,-0.0048380358683348754
SGOT_div_prod_of_Cholesterol_and_Copper,-0.005269666852165402
Alk_Phos_div_prod_of_Cholesterol_and_SGOT,-0.005270275329826988
SGOT_div_prod_of_Age_and_Cholesterol,-0.005817392029183158
Cholesterol_div_SGOT,-0.005866879634283321
Ascites_and_Spiders_1,-0.005906086112536437
Cholesterol_div_prod_of_N_Days_and_Alk_Phos,-0.0062478202980837455
Copper_plus_Platelets_minus_Tryglicerides,-0.0062650646893700436
Copper_div_prod_of_Alk_Phos_and_SGOT,-0.006408236590815663
Copper_plus_Tryglicerides_minus_Cholesterol,-0.006459197756540256
SGOT_div_prod_of_Copper_and_Platelets,-0.006526498109740442
SGOT_div_sum_of_Cholesterol_and_Platelets,-0.006666034737965391
Spiders_1,-0.006936164942512183
Tryglicerides_div_sum_of_Cholesterol_and_Platelets,-0.007012473051485171
Tryglicerides_plus_Platelets_minus_SGOT,-0.007417438715283634
Cholesterol_x_Platelets,-0.007516526083553893
Alk_Phos_div_prod_of_SGOT_and_Tryglicerides,-0.007584981901216953
Cholesterol_plus_Copper,-0.00821116341136532
Tryglicerides,-0.008330633734457984
Cholesterol_div_prod_of_N_Days_and_SGOT,-0.008633073743704402
SGOT_div_prod_of_Cholesterol_and_Tryglicerides,-0.008668227869604212
Cholesterol_minus_Copper,-0.00872898240607194
Tryglicerides_minus_Platelets,-0.008736319056779332
