Feature,Importance
Edema_Y,0.0020174902281860207
Cholesterol_gt_Tryglicerides_1,1.9219808483339478e-06
Bilirubin_gt_Alk_Phos,0.0
Age_gt_Prothrombin,0.0
N_Days_gt_Albumin,0.0
Age_gt_Albumin,0.0
Age_gt_SGOT,0.0
N_Days_gt_Copper_1,-1.571232372260306e-05
Stage_1.0,-0.0002657946167761449
Ascites_1,-0.0006554586158173391
N_Days_gt_SGOT_1,-0.0007114709099542838
Copper_gt_Prothrombin_1,-0.0007322605014169458
N_Days_gt_Tryglicerides_1,-0.0007770251375993433
Ascites_and_Spiders_1,-0.0008805403537815272
N_Days_gt_Platelets_1,-0.0010460858684761699
Bilirubin_gt_Prothrombin_1,-0.001127153227964912
Tryglicerides_gt_Platelets_1,-0.0011766260549164497
Cholesterol_Risk_Level_Normal,-0.0031203852035680017
Edema_S,-0.003393191492002958
SGOT_gt_Platelets_1,-0.0041615460537894385
Tryglicerides_High_1,-0.004853939314809077
Cholesterol_gt_Copper_1,-0.004948848068850973
Stage_2.0,-0.004959308369328104
Tryglicerides_Borderline_1,-0.005408725996833686
N_Days_gt_Cholesterol_1,-0.005511157247629212
random_control_feature,-0.006724232945216485
Sex_M,-0.0076386292610020196
SGOT_div_prod_of_Cholesterol_and_Alk_Phos,-0.008482431421113153
N_Days_x_Copper_x_Alk_Phos,-0.009180747583260792
Copper_div_Alk_Phos,-0.009247172556271898
Bilirubin_div_prod_of_Cholesterol_and_Copper,-0.00953919392249618
Platelets_div_prod_of_N_Days_and_Alk_Phos,-0.009647481089089981
Bilirubin_div_Copper,-0.009739435588157059
Std_SGOT_Tryglicerides,-0.010095210826223344
Copper_div_prod_of_SGOT_and_Tryglicerides,-0.01018027772082974
Hepatomegaly_and_Spiders_1,-0.010398052214093786
Albumin,-0.01043351033414745
SGOT_div_prod_of_N_Days_and_Copper,-0.010459798932705797
SGOT_div_prod_of_Alk_Phos_and_Tryglicerides,-0.010815023517669036
Alk_Phos,-0.01091147149466309
Copper_plus_Platelets,-0.010994801089725207
Edema_N,-0.01107431764379221
Bilirubin_div_prod_of_Copper_and_SGOT,-0.011276083081173872
Copper_gt_Platelets_1,-0.011521283795643118
Copper_gt_SGOT_1,-0.011629824696600047
Cholesterol_div_prod_of_SGOT_and_Platelets,-0.011702862466677313
SGOT_plus_Tryglicerides_minus_Cholesterol,-0.012300331976869324
Tryglicerides_div_sum_of_Bilirubin_and_Albumin,-0.012333967771173656
Tryglicerides_div_prod_of_Copper_and_Platelets,-0.012388050204529941
Alk_Phos_div_prod_of_SGOT_and_Tryglicerides,-0.012756118180004286
Alk_Phos_div_prod_of_SGOT_and_Platelets,-0.01279516356758377
Alk_Phos_div_prod_of_Bilirubin_and_Copper,-0.01289062426205011
Alk_Phos_div_sum_of_Bilirubin_and_Albumin,-0.013107138169848782
N_Days_x_Alk_Phos_x_Tryglicerides,-0.013127981174661902
Cholesterol_x_Platelets,-0.013132200582631443
Std_Copper_Tryglicerides,-0.013323719422342426
Albumin_Risk_Level_Normal,-0.013506671715476478
N_Days_x_Bilirubin_x_Alk_Phos,-0.013616966446146855
Alk_Phos_div_prod_of_Copper_and_SGOT,-0.01367477969662111
Stage_3.0,-0.013740170064708821
Alk_Phos_div_prod_of_N_Days_and_Copper,-0.01388479924980907
Copper_plus_Tryglicerides_minus_SGOT,-0.013966938882505723
Tryglicerides_x_Platelets,-0.014248651019072162
SGOT_div_prod_of_Alk_Phos_and_Platelets,-0.014254543180934078
SGOT_div_prod_of_Copper_and_Platelets,-0.014290827316217674
N_Days_x_Cholesterol_x_SGOT,-0.014337169921889492
Spiders_1,-0.014412144399956172
Copper_plus_Platelets_minus_SGOT,-0.014646659617863881
Age_Group_Senior,-0.014982517088563982
Age_div_sum_of_Copper_and_Platelets,-0.015116571744428783
Platelets,-0.015265273810646098
Alk_Phos_div_prod_of_Cholesterol_and_Tryglicerides,-0.015299769016492309
Albumin_x_Prothrombin,-0.015343439291498905
Alk_Phos_div_prod_of_Cholesterol_and_SGOT,-0.01534441273069009
Cholesterol_div_prod_of_Tryglicerides_and_Platelets,-0.01537822377560696
Tryglicerides_plus_Platelets_minus_SGOT,-0.01561276429090162
Std_Copper_SGOT,-0.015899624184097343
Stage_4.0,-0.015938640662039594
Copper_minus_SGOT,-0.01598289914542837
Alk_Phos_div_sum_of_Copper_and_SGOT,-0.01642251109566078
Tryglicerides_div_prod_of_Age_and_Cholesterol,-0.01643018297128279
Cholesterol_div_Alk_Phos,-0.01657966454674163
Cholesterol_div_prod_of_Alk_Phos_and_Platelets,-0.01658344187305808
