Feature,Importance
Bilirubin_plus_Prothrombin,0.0155302569317222
N_Days,0.014874908459397946
Age_div_sum_of_Bilirubin_and_Albumin,0.0065957687399335035
Age,0.0037661993040968684
Hepatomegaly_1,0.003153358464922454
SGOT,0.0015987096155146575
Age_x_SGOT,0.0015507224882793558
Age_div_sum_of_SGOT_and_Tryglicerides,0.0014895748450521253
N_Days_div_SGOT,0.001361492824229623
Stage_1.0,0.0012922214265977073
Alk_Phos_x_Platelets,0.0012737936485155744
Std_SGOT_Tryglicerides,0.001219877665966752
Age_div_Tryglicerides,0.0011466326726155861
Edema_N,0.0010630085430305691
N_Days_x_SGOT_x_Tryglicerides,0.0009368719819659053
Stage_4.0,0.0009291322749670615
SGOT_div_prod_of_N_Days_and_Tryglicerides,0.0009009227046231193
Copper_div_prod_of_Cholesterol_and_SGOT,0.0006764751332540363
Platelets_div_sum_of_N_Days_and_Alk_Phos,0.0006198086029160066
Cholesterol_plus_Copper,0.0006085408267959334
Cholesterol_div_Alk_Phos,0.0005969374727002574
Age_div_sum_of_Cholesterol_and_Platelets,0.000568338171790309
Age_div_sum_of_Copper_and_Platelets,0.0005526230572363078
Bilirubin_x_Platelets,0.00048501829261475836
SGOT_div_sum_of_N_Days_and_Alk_Phos,0.0004449563792060051
N_Days_minus_Alk_Phos,0.00036330805990866246
Std_of_Cholesterol_Tryglicerides_Platelets,0.00033320576852146396
Alk_Phos_div_sum_of_Bilirubin_and_Albumin,0.0003296366937197004
Cholesterol_div_prod_of_Alk_Phos_and_Platelets,0.00032383802469032613
Cholesterol_div_Copper,0.0003197876174960912
Spiders_1,0.00029128508717677135
Tryglicerides_div_sum_of_Cholesterol_and_Platelets,0.00028124948349229743
Cholesterol_minus_SGOT,0.00027851431475845676
Platelets,0.00026257868636605066
Cholesterol_div_prod_of_N_Days_and_Tryglicerides,0.00025830199810588094
Sex_M,0.00023974072066550444
Alk_Phos_div_sum_of_Copper_and_SGOT,0.00023691044615431811
N_Days_x_Alk_Phos_x_Tryglicerides,0.00023139762238020946
Bilirubin_div_SGOT,0.00020199169637498908
Std_Copper_SGOT,0.0001931353032835116
Tryglicerides_minus_Platelets,0.00017790284548780067
Cholesterol_minus_Tryglicerides,0.0001766474351503378
