Feature,Importance
Bilirubin_plus_Prothrombin,0.02260753453453154
N_Days,0.014836919515058652
Age_div_sum_of_Bilirubin_and_Albumin,0.006122929447441925
Age,0.005207034773679485
Age_x_SGOT,0.00281361131393633
SGOT,0.00281160728402758
Stage_4.0,0.0025975024614077373
Hepatomegaly_1,0.0020844513633295437
Std_Copper_SGOT,0.0014585915192185349
Stage_1.0,0.0014296701271745871
Std_of_Bilirubin_Albumin_Prothrombin,0.001402336450892877
Spiders_1,0.0013624471764540993
N_Days_div_SGOT,0.001115226264481549
N_Days_x_SGOT_x_Tryglicerides,0.0008610680369193546
Std_Bilirubin_Albumin,0.0008187551850827325
Std_SGOT_Tryglicerides,0.0007701990661258118
Prothrombin,0.0007230690944582751
Prothrombin_Normal_1,0.0006980989699894547
Edema_N,0.0006717162586063896
N_Days_div_Tryglicerides,0.0006676002118241552
SGOT_div_sum_of_Bilirubin_and_Albumin,0.0006503288285761211
Bilirubin,0.0006404966610581963
Age_div_sum_of_Copper_and_Platelets,0.0005898313320843485
Age_div_sum_of_SGOT_and_Tryglicerides,0.0005768067275329502
Edema_Y,0.0005698923037641845
Copper_plus_Tryglicerides_minus_SGOT,0.0005149643427804874
Copper_div_prod_of_Cholesterol_and_Tryglicerides,0.0004982605031579201
N_Days_x_SGOT,0.000458349659233942
Cholesterol_minus_Copper,0.00039272881140244194
Alk_Phos_x_Platelets,0.00030413783293435474
N_Days_div_Bilirubin,0.000302878554282836
Std_N_Days_Alk_Phos,0.00029984564618322664
Age_x_Cholesterol,0.00029116963930032934
N_Days_div_Platelets,0.0002805435273535806
Bilirubin_x_Platelets,0.0002667209288320238
Cholesterol,0.0002529110436959747
Alk_Phos,0.00024038776417704575
Cholesterol_div_Copper,0.00023795437744955294
Cholesterol_div_prod_of_N_Days_and_Bilirubin,0.0002170044361202883
Age_div_SGOT,0.00020785620348733104
Copper,0.00020519433303982436
Copper_x_Platelets,0.0002043606491570493
SGOT_div_prod_of_Cholesterol_and_Copper,0.00020276616222618667
Sex_M,0.0001914765497757109
Bilirubin_div_prod_of_Cholesterol_and_Copper,0.00016945895341512253
Tryglicerides_x_Platelets,0.0001694530734000721
Cholesterol_div_prod_of_N_Days_and_Alk_Phos,0.00016574273756939204
N_Days_minus_Alk_Phos,0.00016260718564597987
Age_div_sum_of_Cholesterol_and_Platelets,0.00015978404551724172
Bilirubin_div_prod_of_Copper_and_Alk_Phos,0.0001526686566596025
Hepatomegaly_and_Spiders_1,0.0001228079697190343
Cholesterol_div_Alk_Phos,0.00010763398314509567
SGOT_div_prod_of_Age_and_Cholesterol,9.359970922746427e-05
Albumin_x_Prothrombin,9.345855534585003e-05
Copper_div_prod_of_Cholesterol_and_SGOT,8.357808641479392e-05
Copper_Normal_1,7.872904264437208e-05
