Feature,Avg_Feat_Importance
Weight_2dec,736.6
Age_ceil_round+Age_round,692.6
Weight_2dec_div_family_history_with_overweight,337.4
Weight_2dec_div_CALC,205.8
Weight_2dec_div_FAVC,195.9
family_history_with_overweight_div_prod_of_Weight_2dec_and_CAEC,184.5
CAEC_div_prod_of_Weight_2dec_and_family_history_with_overweight,180.4
Weight_2dec_div_SCC,179.7
Weight_2dec_div_prod_of_CALC_and_FAVC,118.2
Std_of_Height_2dec_Gender_CAEC,115.9
Gender_plus_SCC_minus_Height_2dec,107.3
Weight_2dec_div_CAEC,103.0
Weight_2dec_div_prod_of_CAEC_and_FAVC,94.1
Weight_2dec_div_prod_of_CALC_and_family_history_with_overweight,93.7
family_history_with_overweight_div_prod_of_Height_2dec_and_Gender,92.4
CALC_div_prod_of_Height_2dec_and_Gender,92.4
FAF_ceil_round+TUE_round,91.7
Height_2dec_plus_MTRANS_minus_CALC,88.8
Height_2dec_x_Gender_x_CALC,88.4
CALC_plus_family_history_with_overweight_minus_Height_2dec,86.2
FAF_ceil_round+FCVC_ceil_round,86.1
MTRANS_div_prod_of_Height_2dec_and_Gender,83.3
CALC_plus_CAEC_minus_Height_2dec,82.3
FAF_ceil_round+CH2O_round,79.2
Weight_2dec_div_prod_of_CALC_and_SCC,77.7
MTRANS_plus_FAVC_minus_Height_2dec,77.0
CH2O_floor_round+FAF_floor_round,73.8
Weight_2dec_div_prod_of_CALC_and_CAEC,73.6
FAF_ceil_round+Gender_map,73.1
Weight_2dec_div_prod_of_CAEC_and_family_history_with_overweight,70.9
CAEC_plus_family_history_with_overweight_minus_Height_2dec,69.2
Height_2dec_plus_Gender_plus_MTRANS,68.6
TUE_floor_round+FAF_floor_round,68.5
Weight_2dec_div_sum_of_CAEC_and_family_history_with_overweight,68.2
CALC_plus_FAVC_minus_Height_2dec,66.6
Height_2dec_plus_Gender_plus_family_history_with_overweight,63.6
Std_of_Height_2dec_CAEC_FAVC,62.8
Height_2dec_plus_CALC_minus_FAVC,61.4
TUE_ceil_round+CH2O_ceil_round,61.3
MTRANS_div_sum_of_Height_2dec_and_family_history_with_overweight,59.6
Height_2dec_plus_Gender_minus_MTRANS,58.1
Height_2dec_x_Gender_x_MTRANS,58.0
MTRANS_plus_SCC_minus_Height_2dec,57.3
FAF_floor_round+NCP_ceil_round,57.1
FAF_floor_round+Gender_map,57.0
Height_2dec_plus_FAVC_minus_MTRANS,56.3
Height_2dec_plus_CALC_minus_CAEC,55.3
Height_2dec_plus_CALC_minus_family_history_with_overweight,55.1
FAF_ceil_round+NCP_ceil_round,54.7
Height_2dec_plus_Gender_plus_FAVC,54.3
Height_2dec_minus_family_history_with_overweight,54.1
Std_of_Height_2dec_family_history_with_overweight_FAVC,52.9
Height_2dec_plus_CALC_plus_CAEC,52.7
FAF_round,52.6
Height_2dec_plus_CALC_plus_family_history_with_overweight,52.6
Height_2dec_plus_MTRANS_minus_FAVC,52.3
FCVC_round+NCP_ceil_round,52.2
Height_2dec_plus_MTRANS_minus_family_history_with_overweight,51.8
CH2O_ceil_round+NCP_ceil_round,51.7
Height_2dec_plus_family_history_with_overweight_minus_CALC,51.2
FAVC_div_prod_of_Height_2dec_and_Gender,50.6
CAEC_plus_FAVC_minus_Height_2dec,50.5
