Feature,Average
Weight_2dec_div_family_history_with_overweight,1.348302949
Weight_2dec,1.346199273
Weight_2dec_div_SCC,1.329551215
CAEC_div_prod_of_Weight_2dec_and_family_history_with_overweight,1.311809785
family_history_with_overweight_div_prod_of_Weight_2dec_and_CAEC,1.308499557
Weight_2dec_div_CAEC,1.304171165
Weight_2dec_div_prod_of_CAEC_and_family_history_with_overweight,1.301514628
Weight_2dec_div_FAVC,1.289831642
Weight_2dec_div_prod_of_CAEC_and_FAVC,1.261564976
Weight_2dec_div_CALC,1.245393899
Weight_2dec_div_prod_of_CALC_and_family_history_with_overweight,1.232999531
Weight_2dec_div_prod_of_CALC_and_SCC,1.221137434
Weight_2dec_div_sum_of_CAEC_and_family_history_with_overweight,1.202870553
Weight_2dec_div_prod_of_CALC_and_CAEC,1.190797253
Weight_2dec_div_prod_of_CALC_and_FAVC,1.186961356
family_history_with_overweight_div_prod_of_Height_2dec_and_Gender,0.637239914
Height_2dec_x_Gender_x_family_history_with_overweight,0.634274103
Height_2dec_plus_Gender_plus_family_history_with_overweight,0.633961966
Height_2dec_plus_Gender_minus_family_history_with_overweight,0.631874436
CAEC_div_prod_of_Height_2dec_and_Gender,0.6122109
Height_2dec_x_Gender_x_CALC,0.610392953
CALC_div_prod_of_Height_2dec_and_Gender,0.609335819
Height_2dec_x_Gender_x_CAEC,0.608686982
Height_2dec_plus_Gender_minus_CAEC,0.607275473
Height_2dec_plus_Gender_plus_CAEC,0.605944765
Std_of_Height_2dec_Gender_CAEC,0.602097894
CALC_plus_family_history_with_overweight_minus_Height_2dec,0.597580169
Height_2dec_plus_family_history_with_overweight_minus_CALC,0.597240289
Height_2dec_plus_CALC_plus_family_history_with_overweight,0.594673594
Height_2dec_plus_CALC_minus_family_history_with_overweight,0.593872854
Age_ceil_round+Age_round,0.586482956
Height_2dec_plus_Gender_plus_MTRANS,0.570347377
Height_2dec_x_Gender_x_MTRANS,0.566056067
CALC_plus_CAEC_minus_Height_2dec,0.565379009
Height_2dec_plus_Gender_minus_MTRANS,0.563456037
Height_2dec_plus_CALC_plus_CAEC,0.561772982
Height_2dec_plus_CALC_minus_CAEC,0.561637721
Height_2dec_plus_CAEC_minus_CALC,0.559549403
MTRANS_div_prod_of_Height_2dec_and_Gender,0.559139946
Height_2dec_plus_CAEC_plus_family_history_with_overweight,0.558476536
CAEC_plus_family_history_with_overweight_minus_Height_2dec,0.556466137
CAEC_div_sum_of_Height_2dec_and_family_history_with_overweight,0.553588564
Height_2dec_plus_family_history_with_overweight_minus_CAEC,0.549254057
Std_of_Height_2dec_CAEC_family_history_with_overweight,0.547681144
Height_2dec_plus_CAEC_minus_family_history_with_overweight,0.545529455
Height_2dec_plus_MTRANS_minus_family_history_with_overweight,0.540465701
Gender_plus_CAEC_plus_family_history_with_overweight,0.540294274
Gender_plus_CAEC_minus_family_history_with_overweight,0.540259845
Height_2dec_plus_MTRANS_plus_family_history_with_overweight,0.539035864
CAEC_div_sum_of_Gender_and_family_history_with_overweight,0.538865533
MTRANS_div_sum_of_Height_2dec_and_family_history_with_overweight,0.538860422
FAVC_div_prod_of_Height_2dec_and_Gender,0.535484645
Height_2dec_plus_Gender_plus_FAVC,0.535323507
Height_2dec_plus_Gender_minus_FAVC,0.535199016
CAEC_plus_family_history_with_overweight_minus_Gender,0.5346847
Gender_plus_family_history_with_overweight_minus_CAEC,0.534663359
Height_2dec_x_Gender_x_FAVC,0.534521808
Height_2dec_plus_MTRANS_minus_CALC,0.533983761
Height_2dec_plus_CAEC_plus_MTRANS,0.520454293
Gender_plus_SCC_minus_Height_2dec,0.519995448
Height_2dec_plus_MTRANS_minus_CAEC,0.51781818
Height_2dec_plus_Gender,0.494819128
Std_of_Height_2dec_family_history_with_overweight_FAVC,0.494629726
Height_2dec_x_Gender,0.494256479
MTRANS_div_sum_of_Gender_and_family_history_with_overweight,0.491581062
Height_2dec_plus_FAVC_minus_CALC,0.488759448
CALC_plus_FAVC_minus_Height_2dec,0.488548934
Height_2dec_plus_CALC_minus_FAVC,0.488041602
Height_2dec_plus_CAEC_minus_FAVC,0.483224281
SCC_div_sum_of_Height_2dec_and_family_history_with_overweight,0.482702177
CAEC_plus_FAVC_minus_Height_2dec,0.482109952
FAVC_div_sum_of_Gender_and_family_history_with_overweight,0.470470038
Std_of_Height_2dec_CAEC_FAVC,0.470027248
MTRANS_div_sum_of_Gender_and_CAEC,0.469918964
Height_2dec_minus_family_history_with_overweight,0.466772736
Height_2dec_x_family_history_with_overweight,0.466432273
SCC_div_sum_of_Height_2dec_and_CAEC,0.460287207
Height_2dec_minus_CALC,0.451575296
Height_2dec_x_CALC,0.448972219
Height_2dec_plus_MTRANS_plus_FAVC,0.44813896
MTRANS_plus_FAVC_minus_Height_2dec,0.44809389
Height_2dec_plus_FAVC_minus_MTRANS,0.445674652
Height_2dec_minus_CAEC,0.445544002
FAVC_div_sum_of_Gender_and_CAEC,0.444274171
SCC_div_sum_of_Gender_and_family_history_with_overweight,0.443750165
Height_2dec_x_CAEC,0.443413133
Height_2dec_plus_MTRANS_minus_FAVC,0.443301595
MTRANS_plus_SCC_minus_Height_2dec,0.430802871
Height_2dec_plus_MTRANS_minus_SCC,0.429404408
Gender_x_family_history_with_overweight,0.424198749
SCC_div_sum_of_Gender_and_CAEC,0.421804249
Gender_minus_family_history_with_overweight,0.421615633
CALC_plus_FAVC_minus_Gender,0.41460094
Gender_plus_FAVC_minus_CALC,0.41284941
Gender_plus_CALC_minus_FAVC,0.412133354
Gender_plus_CALC_plus_FAVC,0.411807638
Height_2dec_minus_MTRANS,0.408182779
Height_2dec_x_MTRANS,0.406047198
Gender_minus_CAEC,0.399776901
Gender_x_CAEC,0.39905887
family_history_with_overweight_div_prod_of_CALC_and_CAEC,0.393463518
CAEC_plus_family_history_with_overweight_minus_CALC,0.391330383
CALC_plus_family_history_with_overweight_minus_CAEC,0.391175062
CALC_plus_CAEC_minus_family_history_with_overweight,0.390334471
CAEC_div_prod_of_CALC_and_family_history_with_overweight,0.389928781
Height_2dec_plus_FAVC_minus_SCC,0.38752922
CAEC_div_sum_of_CALC_and_family_history_with_overweight,0.387382142
MTRANS_div_sum_of_Gender_and_FAVC,0.377279614
Gender_plus_FAVC_minus_MTRANS,0.376896062
Gender_minus_CALC,0.371841276
Height_2dec_minus_FAVC,0.369669334
Gender_x_CALC,0.368915999
Height_2dec_x_FAVC,0.36646112
CAEC_plus_family_history_with_overweight_minus_MTRANS,0.350851735
MTRANS_plus_family_history_with_overweight_minus_CAEC,0.348331496
CAEC_plus_MTRANS_plus_family_history_with_overweight,0.347435746
family_history_with_overweight_div_prod_of_CAEC_and_MTRANS,0.344832631
CAEC_plus_MTRANS_minus_family_history_with_overweight,0.343000305
CAEC_div_sum_of_MTRANS_and_family_history_with_overweight,0.342525152
FCVC_floor_round+CAEC_map,0.342449102
FCVC_floor_round+family_history_with_overweight_map,0.338984817
CAEC_plus_MTRANS_minus_CALC,0.336391045
CALC_plus_CAEC_minus_MTRANS,0.332314816
NCP_ceil_round+FCVC_floor_round,0.328685804
family_history_with_overweight_plus_FAVC_minus_CALC,0.326964426
Std_of_Gender_MTRANS_SMOKE,0.32695244
Gender_plus_SCC_minus_FAVC,0.326658653
CALC_plus_family_history_with_overweight_minus_FAVC,0.325842534
FCVC_floor_round+Public_Transportation,0.325769454
Gender_minus_MTRANS,0.324803705
Std_Gender_MTRANS,0.322917163
Height_2dec,0.322242072
FCVC_floor_round+CALC_map,0.315618991
CAEC_plus_FAVC_minus_family_history_with_overweight,0.311666059
FAVC_div_sum_of_CAEC_and_family_history_with_overweight,0.311107663
CAEC_div_prod_of_family_history_with_overweight_and_FAVC,0.309953162
CAEC_div_sum_of_family_history_with_overweight_and_FAVC,0.309529305
SCC_div_sum_of_CALC_and_family_history_with_overweight,0.308621197
Gender_x_FAVC,0.304748404
Gender_minus_FAVC,0.300409876
CALC_minus_family_history_with_overweight,0.292349551
CALC_x_family_history_with_overweight,0.29161032
