Experiment ID,Experiment Description,Date,Model,Hyperparameters,Train Score,Test Score,Dataset Split,Feature Engineering,Metric Used,Duration,Notes,Status,Comments,Next Steps
1,Baseline model with Competiton Data,"Saturday, 10 February 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': 'multiclass', 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'num_class': 7}",0.986065616,0.892138243,5-Fold StratifiedKFold,None,Accuracy,1 min 3.02 sec,Initial test using synthetic training data only,Completed,All feature engineering except scaling was done prior to experimentation commencing,Add original data
2,Baseline with Competition and Original Datasets,"Saturday, 10 February 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': 'multiclass', 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'num_class': 7}",0.989931798,0.905942304,5-Fold StratifiedKFold,None,Accuracy,1 min 12.77 sec,Initial test using synthetic & original training data,Completed,All feature engineering except scaling was done prior to experimentation commencing,Remove mutual information features
3,Remove features with importance less than a random control feature,"Saturday, 10 February 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': 'multiclass', 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'num_class': 7}",0.989942729,0.906029784,5-Fold StratifiedKFold,None,Accuracy,0 min 45.42 sec,Better result than initial features,Completed,,Feature Importance
4,Check feature importances and remove features < or = to 0,"Saturday, 10 February 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': 'multiclass', 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'num_class': 7}",0.990325341,0.905286452,5-Fold StratifiedKFold,None,Accuracy,0 min 58.25 sec,Overfitting to training data but worse test score,Completed,Feature with importance of 0 still added something to the model. Study why?,Permutation Importance
5,Check permutation importances. Threshold is either 0 or random_feature (whichever is lower). 10-Fold CV,"Saturday, 10 February 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': 'multiclass', 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'num_class': 7}",0.98884955,0.906467105,5-Fold StratifiedKFold,None,Accuracy,56 min 58 sec,Better result than mutual information experiment,Completed,PI took very long but features overfit less to training.,RFECV
6,Recursive Feature Elimination with Cross-Validation. 10-Fold CV,"Saturday, 10 February 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': 'multiclass', 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'num_class': 7}",0.988270157,0.906466971,5-Fold StratifiedKFold,None,Accuracy,84 min 7 sec,Narrowed down to 78 features,Completed,Test score dropped slightly but not significant enough compared to the run time gained,SFS
7,Sequential Feature Selection (Backward),"Sunday, 11 February 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': 'multiclass', 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'num_class': 7}",0.981984341,0.910446375,5-Fold StratifiedKFold,None,Accuracy,508 min 59 sec,Narrowed down to 25 features. Best test score so far,Completed,,10-Fold CV Experiment
8,Sequential Feature Selection (Backward),,LGBMClassifier,,,,10-Fold StratifiedKFold,None,Accuracy,,,Cancelled,5-Fold took 8 hours. 10-Fold will take almost double that. Not worth the time,Hyperparameter Tuning 1st Round
9,Hyperparameter Tuning V1,,LGBMClassifier,,,,10-Fold StratifiedKFold,None,Accuracy,,,Pending,,Hyperparameter Tuning 2nd Round
10,Hyperparameter Tuning V2,,LGBMClassifier,,,,10-Fold StratifiedKFold,None,Accuracy,,,Pending,,Hyperparameter Tuning 3rd Round
