Experiment ID,Experiment Description,Date,Model,Hyperparameters,Train Score,Test Score,Test Std,Dataset Split,Feature Engineering,Metric Used,Duration,Notes,Status,Comments,Next Steps
1,Baseline model after feature importance,"Friday, 1 March 2024",AdaBoost,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 1.0, 'n_estimators': 50, 'random_state': 5}",0.765191375,0.761636292,0.013789544,10-fold StratifiedKFold,None,ROC AUC,2 min,,Completed,,
1,Baseline model after feature importance,"Friday, 1 March 2024",Bagging,"{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.999626279,0.824220346,0.003279351,10-fold StratifiedKFold,None,ROC AUC,,,Aborted,Does not have feature_importances_,
1,Baseline model after feature importance,"Friday, 1 March 2024",ExtraTrees,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.999999243,0.872309225,0.002278912,10-fold StratifiedKFold,None,ROC AUC,2 min,,Completed,,
1,Baseline model after feature importance,"Friday, 1 March 2024",HistGradientBoosting,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': 5, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.958242543,0.887164642,0.002961732,10-fold StratifiedKFold,None,ROC AUC,,,Aborted,Does not have feature_importances_,
1,Baseline model after feature importance,"Friday, 1 March 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",0.982299897,0.885442987,0.002803137,10-fold StratifiedKFold,None,ROC AUC,2 min,,Completed,,
1,Baseline model after feature importance,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.999998785,0.878703996,0.003609413,10-fold StratifiedKFold,None,ROC AUC,2 min,,Completed,,
1,Baseline model after feature importance,"Friday, 1 March 2024",XGBoost,"{'objective': 'multi:softprob', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': 5, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.9928259,0.881240325,0.002707632,10-fold StratifiedKFold,None,ROC AUC,2 min,,Completed,,
1,Baseline model after removing highly correlated features,"Friday, 1 March 2024",AdaBoost,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 1.0, 'n_estimators': 50, 'random_state': 5}",0.765191375,0.761636292,0.013789544,10-fold StratifiedKFold,None,ROC AUC,1 min,,Completed,,
1,Baseline model after removing highly correlated features,"Friday, 1 March 2024",Bagging,"{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.999626279,0.824220346,0.003279351,10-fold StratifiedKFold,None,ROC AUC,1 min,,Completed,,
1,Baseline model after removing highly correlated features,"Friday, 1 March 2024",ExtraTrees,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.999999243,0.873583781,0.003029631,10-fold StratifiedKFold,None,ROC AUC,1 min,,Completed,,
1,Baseline model after removing highly correlated features,"Friday, 1 March 2024",HistGradientBoosting,"{'categorical_features': None, 'early_stopping': 'auto', 'l2_regularization': 0.0, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': None, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20, 'monotonic_cst': None, 'n_iter_no_change': 10, 'random_state': 5, 'scoring': 'loss', 'tol': 1e-07, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.958242543,0.887164642,0.002961732,10-fold StratifiedKFold,None,ROC AUC,1 min,,Completed,,
1,Baseline model after removing highly correlated features,"Friday, 1 March 2024",LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 5, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",0.982442792,0.885716587,0.002586104,10-fold StratifiedKFold,None,ROC AUC,1 min,,Completed,,
1,Baseline model after removing highly correlated features,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.99999882,0.879268893,0.001811556,10-fold StratifiedKFold,None,ROC AUC,1 min,,Completed,,
