Feature,Importance
Curricular units 2nd sem (approved),0.19699991115881074
Curricular units 1st sem (approved),0.08285650579221465
Curricular units 2nd sem (grade),0.044047920855246184
Tuition fees up to date,0.03345048647113782
Curricular units 2nd sem (enrolled),0.013347647655147666
Curricular units 2nd sem (evaluations),0.009264345087306251
Scholarship holder,0.005311770953645713
Curricular units 1st sem (evaluations),0.004774485122506023
Age at enrollment,0.004272060207147871
Course,0.004240114277580335
Curricular units 1st sem (enrolled),0.003455972021867426
Curricular units 1st sem (grade),0.0026253951427220997
Mother's qualification,0.001312676802743167
Gender,0.0011268122213638242
Mother's occupation,0.0011210134545748306
Unemployment rate,0.0008973845678900939
Application mode,0.0008741542889657518
Debtor,0.000816078907928297
Father's occupation,0.0005982589087803402
Displaced,0.0004269224500124924
Curricular units 2nd sem (credited),0.00040658248797942776
Daytime/evening attendance,0.00038334862462358294
Application order,0.0003194607716178189
Previous qualification (grade),0.0003107541874778441
International,0.00019458128626713482
Father's qualification,0.0001481188307782588
Admission grade,0.00013358501524611823
Nacionality,0.00011907270630303834
Curricular units 1st sem (without evaluations),3.484868654463736e-05
random_feature_categorical,3.48451021131213e-05
Marital status,2.033026298310592e-05
Educational special needs,-2.3233441658017107e-05
Inflation rate,-3.194909230122888e-05
Curricular units 2nd sem (without evaluations),-3.7751654370650194e-05
GDP,-7.551216439561693e-05
Previous qualification,-9.002805777019508e-05
Curricular units 1st sem (credited),-0.00013359640108739245
random_feature_continous,-0.00025556912333164923
