Feature,Importance
Previously_Insured,0.20143300340545478
Vehicle_Damage_Yes,0.06508452433540846
Age,0.03107642277248346
Policy_Sales_Channel,0.030360035680926285
Vintage,0.01539254653474183
Vehicle_Age_< 1 Year,0.00661011293689974
Region_Code,0.003965256270633188
Vehicle_Age_> 2 Years,0.0023871827710424958
Annual_Premium,0.0016604233872863096
Gender_Male,0.0003939502691890473
Driving_License,0.00012992442844757867
random_feature_categorical,-2.8302888270164144e-05
random_feature_continous,-3.4111162701040424e-05
